device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 2
  Num steps = 1836
step: 10 | train loss: 0.02090705931186676 | train acc 0.45468997955322266
step: 10 | train loss: 0.01916074939072132 | train acc 0.5
step: 20 | train loss: 0.01384621299803257 | train acc 0.6681159734725952
step: 20 | train loss: 0.013007331639528275 | train acc 0.7837837934494019
step: 30 | train loss: 0.009042915888130665 | train acc 0.7784091234207153
step: 30 | train loss: 0.006091510411351919 | train acc 0.824999988079071
step: 40 | train loss: 0.007262561935931444 | train acc 0.8089261054992676
step: 40 | train loss: 0.012507149018347263 | train acc 0.7352941036224365
step: 50 | train loss: 0.0071222069673240185 | train acc 0.8215339183807373
step: 50 | train loss: 0.0059322211891412735 | train acc 0.8421052694320679
step: 60 | train loss: 0.007695023901760578 | train acc 0.7922077775001526
step: 60 | train loss: 0.004749852232635021 | train acc 0.8666667342185974
step: 70 | train loss: 0.010476565919816494 | train acc 0.8022598624229431
step: 70 | train loss: 0.008223414421081543 | train acc 0.800000011920929
step: 80 | train loss: 0.006145121995359659 | train acc 0.8526466488838196
step: 80 | train loss: 0.0019629935268312693 | train acc 0.9487179517745972
step: 90 | train loss: 0.006314567755907774 | train acc 0.8453900218009949
step: 90 | train loss: 0.011831510812044144 | train acc 0.7179487347602844
step: 100 | train loss: 0.005988757591694593 | train acc 0.8376068472862244
step: 100 | train loss: 0.0019142304081469774 | train acc 0.9473684430122375
step: 110 | train loss: 0.007375848479568958 | train acc 0.8283262252807617
step: 110 | train loss: 0.007438726723194122 | train acc 0.8108108043670654
step: 120 | train loss: 0.006865798961371183 | train acc 0.8199999928474426
step: 120 | train loss: 0.0022987208794802427 | train acc 1.0
step: 130 | train loss: 0.007555073592811823 | train acc 0.8135313987731934
step: 130 | train loss: 0.009827417321503162 | train acc 0.9047619104385376
step: 140 | train loss: 0.007140064612030983 | train acc 0.8284024000167847
step: 140 | train loss: 0.004207826219499111 | train acc 0.8717948794364929
step: 150 | train loss: 0.006114036776125431 | train acc 0.8526011109352112
step: 150 | train loss: 0.009777958504855633 | train acc 0.9189189672470093
step: 160 | train loss: 0.006742565892636776 | train acc 0.8462643623352051
step: 160 | train loss: 0.004647723864763975 | train acc 0.90625
step: 170 | train loss: 0.00692197447642684 | train acc 0.8089261054992676
step: 170 | train loss: 0.0059861172921955585 | train acc 0.8235294222831726
step: 180 | train loss: 0.006766858976334333 | train acc 0.8185653686523438
step: 180 | train loss: 0.010690891183912754 | train acc 0.6578947305679321
step: 190 | train loss: 0.006479965057224035 | train acc 0.8284457325935364
step: 190 | train loss: 0.01258295588195324 | train acc 0.8333333730697632
step: 200 | train loss: 0.009058639407157898 | train acc 0.833707869052887
step: 200 | train loss: 0.005408382974565029 | train acc 0.8205128312110901
step: 210 | train loss: 0.007982867769896984 | train acc 0.8308383822441101
step: 210 | train loss: 0.005223084706813097 | train acc 0.8684210777282715
step: 220 | train loss: 0.0061988974921405315 | train acc 0.8408104181289673
step: 220 | train loss: 0.007781161926686764 | train acc 0.8235294222831726
step: 230 | train loss: 0.006471164524555206 | train acc 0.8328571319580078
step: 230 | train loss: 0.011828359216451645 | train acc 0.7250000238418579
step: 240 | train loss: 0.00796434748917818 | train acc 0.7999999523162842
step: 240 | train loss: 0.007142039015889168 | train acc 0.7878788113594055
step: 250 | train loss: 0.008826381526887417 | train acc 0.7696709632873535
step: 250 | train loss: 0.004233693704009056 | train acc 0.9000000357627869
step: 260 | train loss: 0.011096437461674213 | train acc 0.7827788591384888
step: 260 | train loss: 0.003552500158548355 | train acc 0.875
step: 270 | train loss: 0.007533625699579716 | train acc 0.8187134265899658
step: 270 | train loss: 0.005121968220919371 | train acc 0.875
step: 280 | train loss: 0.007330466527491808 | train acc 0.7757405042648315
step: 280 | train loss: 0.0039505367167294025 | train acc 0.8947368264198303
step: 290 | train loss: 0.008582265116274357 | train acc 0.7855113744735718
step: 290 | train loss: 0.008259830996394157 | train acc 0.8484848737716675
step: 300 | train loss: 0.006091926712542772 | train acc 0.8403955101966858
step: 300 | train loss: 0.006123383063822985 | train acc 0.7692307829856873
step: 310 | train loss: 0.007003035396337509 | train acc 0.845255434513092
step: 310 | train loss: 0.005842090584337711 | train acc 0.8965517282485962
step: 320 | train loss: 0.005620053503662348 | train acc 0.8595944046974182
step: 320 | train loss: 0.0058056022971868515 | train acc 0.9583333730697632
step: 330 | train loss: 0.007484083063900471 | train acc 0.8430420756340027
step: 330 | train loss: 0.002203022362664342 | train acc 0.9230769276618958
step: 340 | train loss: 0.005730085540562868 | train acc 0.846372663974762
step: 340 | train loss: 0.004355346783995628 | train acc 0.8611111044883728
step: 350 | train loss: 0.004416732583194971 | train acc 0.9069767594337463
step: 350 | train loss: 0.0036757271736860275 | train acc 0.9230769276618958
step: 360 | train loss: 0.0050084576942026615 | train acc 0.8717579245567322
step: 360 | train loss: 0.0029647769406437874 | train acc 0.944444477558136
step: 370 | train loss: 0.006456396542489529 | train acc 0.8592162728309631
step: 370 | train loss: 0.004465495236217976 | train acc 0.8717948794364929
step: 380 | train loss: 0.007231374736875296 | train acc 0.8512160181999207
step: 380 | train loss: 0.0055227424018085 | train acc 0.824999988079071
step: 390 | train loss: 0.006298695225268602 | train acc 0.8779599070549011
step: 390 | train loss: 0.003505039494484663 | train acc 0.9166666865348816
step: 400 | train loss: 0.0043945955112576485 | train acc 0.8853410482406616
step: 400 | train loss: 0.0029146727174520493 | train acc 0.9189189672470093
step: 410 | train loss: 0.005198008846491575 | train acc 0.8695651888847351
