device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 4
  Num steps = 1816
step: 10 | train loss: 0.011066799983382225 | train acc 0.7235543131828308
step: 20 | train loss: 0.010673802345991135 | train acc 0.7070844769477844
step: 30 | train loss: 0.010227642022073269 | train acc 0.732262372970581
step: 40 | train loss: 0.010452254675328732 | train acc 0.7364864945411682
step: 50 | train loss: 0.01006552204489708 | train acc 0.7142857313156128
step: 60 | train loss: 0.011091356165707111 | train acc 0.6924119591712952
step: 70 | train loss: 0.011968093924224377 | train acc 0.6529160737991333
step: 80 | train loss: 0.010652881115674973 | train acc 0.7261055707931519
step: 90 | train loss: 0.009236181154847145 | train acc 0.7468706369400024
step: 100 | train loss: 0.009990047663450241 | train acc 0.7115902900695801
step: 110 | train loss: 0.011181928217411041 | train acc 0.6977715492248535
step: 120 | train loss: 0.010250559076666832 | train acc 0.6930422782897949
step: 130 | train loss: 0.011743288487195969 | train acc 0.7099236845970154
step: 140 | train loss: 0.011097060516476631 | train acc 0.6821378469467163
step: 150 | train loss: 0.010582544840872288 | train acc 0.71074378490448
step: 160 | train loss: 0.010946777649223804 | train acc 0.6993103623390198
step: 170 | train loss: 0.010627934709191322 | train acc 0.692307710647583
step: 180 | train loss: 0.009121453389525414 | train acc 0.732262372970581
step: 190 | train loss: 0.009930203668773174 | train acc 0.7348066568374634
step: 200 | train loss: 0.011467966251075268 | train acc 0.703592836856842
step: 210 | train loss: 0.010064387694001198 | train acc 0.7102425694465637
step: 220 | train loss: 0.009864309802651405 | train acc 0.7312414646148682
step: 230 | train loss: 0.010152101516723633 | train acc 0.7150610685348511
step: 240 | train loss: 0.012312321923673153 | train acc 0.6525307893753052
step: 250 | train loss: 0.00939400028437376 | train acc 0.7264276742935181
step: 260 | train loss: 0.010431742295622826 | train acc 0.7649918794631958
step: 270 | train loss: 0.01032742578536272 | train acc 0.7120566964149475
step: 280 | train loss: 0.010391713120043278 | train acc 0.7194950580596924
step: 290 | train loss: 0.008996344171464443 | train acc 0.7466124892234802
step: 300 | train loss: 0.009670442901551723 | train acc 0.7267759442329407
step: 310 | train loss: 0.010073034092783928 | train acc 0.7332382798194885
step: 320 | train loss: 0.011701717972755432 | train acc 0.698113203048706
step: 330 | train loss: 0.011724317446351051 | train acc 0.7079510688781738
step: 340 | train loss: 0.009551276452839375 | train acc 0.7577388882637024
step: 350 | train loss: 0.009627770632505417 | train acc 0.75
step: 360 | train loss: 0.00905994325876236 | train acc 0.7270340919494629
step: 370 | train loss: 0.010067001916468143 | train acc 0.7266483902931213
step: 380 | train loss: 0.009469002485275269 | train acc 0.7303988933563232
step: 390 | train loss: 0.013397907838225365 | train acc 0.7123287916183472
step: 400 | train loss: 0.010146884247660637 | train acc 0.7156084179878235
step: 410 | train loss: 0.01027906034141779 | train acc 0.7222222685813904
step: 420 | train loss: 0.009073570370674133 | train acc 0.75
step: 430 | train loss: 0.008020872250199318 | train acc 0.79347825050354
step: 440 | train loss: 0.008549434132874012 | train acc 0.7636364102363586
step: 450 | train loss: 0.010306321084499359 | train acc 0.7443609237670898
step: 460 | train loss: 0.010791593231260777 | train acc 0.7482615113258362
step: 470 | train loss: 0.010005581192672253 | train acc 0.7399165630340576
step: 480 | train loss: 0.009331426583230495 | train acc 0.7303523421287537
step: 490 | train loss: 0.009619973599910736 | train acc 0.7188754677772522
step: 500 | train loss: 0.009661934338510036 | train acc 0.7375504374504089
step: 510 | train loss: 0.009048067964613438 | train acc 0.7630137205123901
step: 520 | train loss: 0.009238294325768948 | train acc 0.7326732873916626
step: 530 | train loss: 0.009847193025052547 | train acc 0.7482615113258362
step: 540 | train loss: 0.008837406523525715 | train acc 0.750325083732605
step: 550 | train loss: 0.00959792546927929 | train acc 0.731034517288208
step: 560 | train loss: 0.008355595171451569 | train acc 0.767346978187561
step: 570 | train loss: 0.00935695506632328 | train acc 0.767978310585022
step: 580 | train loss: 0.009625589475035667 | train acc 0.7982608675956726
step: 590 | train loss: 0.01055153738707304 | train acc 0.7336122989654541
step: 600 | train loss: 0.009706719778478146 | train acc 0.727642297744751
step: 610 | train loss: 0.009584997780621052 | train acc 0.741978645324707
step: 620 | train loss: 0.00870727188885212 | train acc 0.7807407379150391
step: 630 | train loss: 0.008665986359119415 | train acc 0.7489933371543884
step: 640 | train loss: 0.008670482784509659 | train acc 0.7750000357627869
step: 650 | train loss: 0.009348833002150059 | train acc 0.7677053809165955
step: 660 | train loss: 0.008524397388100624 | train acc 0.767346978187561
step: 670 | train loss: 0.009265171363949776 | train acc 0.7517337203025818
step: 680 | train loss: 0.007923014461994171 | train acc 0.7648613452911377
step: 690 | train loss: 0.008473551832139492 | train acc 0.7630854249000549
step: 700 | train loss: 0.008701343089342117 | train acc 0.7742857336997986
step: 710 | train loss: 0.010587606579065323 | train acc 0.7484756112098694
step: 720 | train loss: 0.008802034892141819 | train acc 0.7538036108016968
step: 730 | train loss: 0.008335371501743793 | train acc 0.7758389711380005
step: 740 | train loss: 0.009480380453169346 | train acc 0.77028888463974
step: 750 | train loss: 0.008948259055614471 | train acc 0.7795918583869934
step: 760 | train loss: 0.008284949697554111 | train acc 0.779891312122345
step: 770 | train loss: 0.009110638871788979 | train acc 0.779940128326416
step: 780 | train loss: 0.008933856151998043 | train acc 0.7418032288551331
step: 790 | train loss: 0.008339791558682919 | train acc 0.7734807133674622
step: 800 | train loss: 0.008264890871942043 | train acc 0.765753448009491
step: 810 | train loss: 0.008265571668744087 | train acc 0.7782369256019592
step: 820 | train loss: 0.0082617262378335 | train acc 0.7736351490020752
step: 830 | train loss: 0.008797434158623219 | train acc 0.7482805848121643
step: 840 | train loss: 0.00920301117002964 | train acc 0.769456684589386
step: 850 | train loss: 0.009482906199991703 | train acc 0.7235449552536011
step: 860 | train loss: 0.008868672885000706 | train acc 0.7513812184333801
step: 870 | train loss: 0.008825672790408134 | train acc 0.7777777910232544
step: 880 | train loss: 0.00784987397491932 | train acc 0.7861035466194153
step: 890 | train loss: 0.00785108096897602 | train acc 0.7791164517402649
step: 900 | train loss: 0.010561949573457241 | train acc 0.7328125238418579
step: 910 | train loss: 0.006564173847436905 | train acc 0.9838709235191345
step: 920 | train loss: 0.0032756254076957703 | train acc 0.9469388127326965
step: 930 | train loss: 0.003985228016972542 | train acc 0.9070735573768616
step: 940 | train loss: 0.002638334408402443 | train acc 0.9344692230224609
